key,product,EMA link,WHO link,FDA link
17091,Rotarix,https://www.ema.europa.eu/en/medicines/human/EPAR/rotarix,https://extranet.who.int/prequal/vaccines/p/rotarix,https://www.fda.gov/vaccines-blood-biologics/vaccines/rotarix
3932,Rotarix,https://www.ema.europa.eu/en/medicines/human/EPAR/rotarix,https://extranet.who.int/prequal/vaccines/p/rotarix,https://www.fda.gov/vaccines-blood-biologics/vaccines/rotarix
15358,Stamaril,,https://extranet.who.int/prequal/vaccines/p/stamaril,
8556,Nimenrix,https://www.ema.europa.eu/en/medicines/human/EPAR/nimenrix,https://extranet.who.int/prequal/vaccines/p/nimenrix,
16887,Varivax,,https://extranet.who.int/prequal/vaccines/p/varivax,https://www.fda.gov/vaccines-blood-biologics/vaccines/varivax-refrigerated-and-frozen-formulations
15210,Antidiphtheria serum,,,
57335,Vaxneuvance,https://www.ema.europa.eu/en/medicines/human/EPAR/vaxneuvance,,https://www.fda.gov/vaccines-blood-biologics/vaccines/vaxneuvance
58090,Prevenar 20,https://www.ema.europa.eu/en/medicines/human/EPAR/prevenar-20,,https://www.fda.gov/vaccines-blood-biologics/vaccines/prevnar-20
64095,Abrysvo,https://www.ema.europa.eu/en/medicines/human/EPAR/abrysvo,https://extranet.who.int/prequal/vaccines/p/abrysvo,https://www.fda.gov/vaccines-blood-biologics/abrysvo
64907,Fluenz,https://www.ema.europa.eu/en/medicines/human/EPAR/fluenz-0,,https://www.fda.gov/vaccines-blood-biologics/vaccines/flumist
46255,Bexsero,https://www.ema.europa.eu/en/medicines/human/EPAR/bexsero,,https://www.fda.gov/vaccines-blood-biologics/vaccines/bexsero
