version,change
Версия 1.5.15,"Номенклатура CL132 - промяна на стойност за Event trigger при прегледи J17 и A1 на ""от/до навършване на възрастта"" с цел да няма застъпване на събития при преходни вързрасти"
Версия 1.5.15,"Номенклатура CL038 - промяна на стойностите за Min age и Max age при кодове: 16, 17, 18, 43, 44, 48, 49, 73, 82, 83, 84, 85, 86. Всички възрасти, които са записани в седмици (weeks) са преобразувани в дни, за да може да се считат до дни включително (примерно 20 weeks = 20 * 7 + 6 дни за до края на 20-тата седмица = 146)"
Версия 1.5.15,Номенклатура CL037 - за код 3339 (Infanrix-IPV+HIB) е променена стойността на number of doses от 3 на 4
