version,change,regarding vaccines
Версия 1.3.9,"Коригирани редове ""<"" и "">"" на ""LT"" и ""GT"" съответно в номенклатура CL097",false
Версия 1.3.9,"Променени са стойностите на редове ""391"", ""392"" в номенклатура CL085",false
