version,change,regarding vaccines
Версия 1.5.16,"Номенклатура CL132 - промяна на стойност за Max age при преглед A2M20, A2M25 и A8M68 - намаляват се с 1 година, тъй като се горната възрастова граница е до годината, в която се навършва възрастта и се удължават събитията",false
Версия 1.5.16,"Добавен код ""03-028"" в номенклатура CL022",false
Версия 1.5.16,"Добавен код ""03-028-00"" в номенклатура CL024",false
Версия 1.5.16,"Добавени кодове 9, 10, 11 в номенклатура CL002",false
Версия 1.5.16,Добавен код 4 в номенклатура CL055,false
Версия 1.5.16,"Добавени кодове 100, 101 в номенклатура CL038 за новите правила за HPV",true
Версия 1.5.16,Промяна на descr и min age при код 81 в номенклатура CL038,true
Версия 1.5.16,Създадена номенклатура CL146,false
