version,change,regarding vaccines
Версия 1.4.9,Добавен код 15497 в номенклатура CL037,true
Версия 1.4.9,"Добавен код 15497 в колона ""CL037 Mapping"" за ред 72 на номенклатура CL038",true
Версия 1.4.9,Добавен нов ред в номенклатура CL002 за статус 8 на е-рецепта,false
Версия 1.4.9,Добавен нов ред в номенклатура CL003 за статус 9 на е-направление,false
Версия 1.4.9,Добавен нов ред в номенклатура CL003 за статус 10 на е-направление,false
Версия 1.4.9,Добавена нова колона към Meta Data в номенклатура CL006 - колона Clinical speciality,false
Версия 1.4.9,Създадена номенклатура CL123,false
Версия 1.4.9,Създадена номенклатура CL124,false
