version,change,regarding vaccines
Версия 1.4.3,Променено името на номенклатура CL032,false
Версия 1.4.3,Променено името на номенклатура CL012,false
Версия 1.4.3,"Добавени колони за мета данни ""Definition"" и ""Definition EN"" в номенклатура CL012",false
Версия 1.4.3,"Премахнат код ""50"" от номенклатура CL038",true
Версия 1.4.3,"Променени стойности в колони ""Description"" и ""Dose Number"" за код ""51"" в номенклатура CL038",true
Версия 1.4.3,"Добавен код ""Kb"" в номенклатура CL107",false
Версия 1.4.3,"Коригирани няколко стойности в колона ""Description"" в номенклатура CL107",false
Версия 1.4.3,"Коригирани няколко стойности в колона ""Language EN"" в номенклатура CL107",false
Версия 1.4.3,"Коригирани няколко стойности в колона ""Incompatible other codes from CL107"" в номенклатура CL107",false
Версия 1.4.3,"Коригирани няколко стойности в колона ""Language EN"" в номенклатура CL111",false
Версия 1.4.3,Променено името на номенклатура CL098,false
Версия 1.4.3,"Добавен код ""7"" в номенклатура CL069",false
Версия 1.4.3,"Добавени редове ""11-001"" до ""6E-005"" в номенклатура CL022",false
Версия 1.4.3,"Добавени редове ""11-001-00"" до ""6E-005-00"" в номенклатура CL024 (подлежат на разширяване и конкретизиране)",false
Версия 1.4.3,"Коригирани стойностите в колона ""Incompatible other codes from CL107"" в номенклатура CL107",false
Версия 1.4.3,Създадена номенклатура CL114,false
Версия 1.4.3,Създадена номенклатура CL115,false
