version,change
Версия 1.3.3,Изцяло преработена номенкалтура CL022
Версия 1.3.3,Изцяло преработена номенкалтура CL024
Версия 1.3.3,"Добавена нова колона ""CL032 Mapping"" в номенклатура CL088"
Версия 1.3.3,"Добавен нов ред ""2-00001"" в номенклатура CL050"
Версия 1.3.3,"Добавен нов ред ""2-00001-1"" в номенклатура CL088"
Версия 1.3.3,"Добавен нов ред ""2-00001-2"" в номенклатура CL088"
Версия 1.3.3,"Коригирани стойностите в ""Description"" за редове от ""33"" до ""41"" в номенклатура CL038"
Версия 1.3.3,"Променен код на ред ""5"" на ""6"" в номенклатра CL061"
Версия 1.3.3,"Добавен нов код ""5"" в номенклатура CL061"
Версия 1.3.3,"Коригирани данните в ""Dose Number"" за редове ""04"", ""06"", ""07"" и ""09"" в номенклатура CL038"
Версия 1.3.3,Добавена номенклaтура CL090
Версия 1.3.3,Добавена номенклaтура CL091
Версия 1.3.3,Добавена номенклaтура CL092
Версия 1.3.3,Добавена номенклaтура CL093
Версия 1.3.3,"Добавена нова колона ""Usage Instructions"" в номенклатура CL014"
Версия 1.3.3,Премахната номенклатура CL036
Версия 1.3.3,Добавена номенклaтура CL094
Версия 1.3.3,"Променено описанието ""Description"" и ""Language EN"" на ред ""1"" в номенклатура CL069"
Версия 1.3.3,"Добавен ред ""5"" в номенклатура CL069"
Версия 1.3.3,Добавена номенклaтура CL998
