version,change
Версия 1.2.0,Номенклатура CL022 обновена с данни от НЗОК към 01.03.2021
Версия 1.2.0,"Коригирано описание на поле ""senderId"" в съобщение C001"
Версия 1.2.0,"Табове ""Съобщения"", ""С001"", ""С002, ""С003"", ""С004"", ""С099"" са преместени в нов файл с име ""НЗИС Общи Медицински Услуги - API Спецификация"""
Версия 1.2.0,Допълнена номенклатура CL056 с тестове за COVID налични в България
Версия 1.2.0,Допълнена номенклатура CL011 с новите кодове за COVID
Версия 1.2.0,"Добавена нова колона ""Mapping to CL038"" в мета-данните за номенклатура CL037"
Версия 1.2.0,"Променено името на ваксина ""COVID-19 Vaccine AstraZeneca"" на ""Vaxzevria"" в номенклатура CL037"
Версия 1.2.0,"Добавен нов ред за ваксина ""COVID-19 Vaccine Janssen"" в номенклатура CL037"
