version,change,regarding vaccines
Версия 1.4.2,Променена изцяло номенклатура CL110 с нови кодове и различни редове,false
Версия 1.4.2,Променена изцяло номенклатура CL112 с нови кодове и различни редове,false
Версия 1.4.2,Коригирани няколко стойности в колона Description в номенклатура CL107,false
