version,change,regarding vaccines
Версия 1.4.0,Добавяне на код -1006 в номенклатура CL037,true
Версия 1.4.0,Добавена номенклaтура CL103,false
Версия 1.4.0,Добавена номенклaтура CL104,false
Версия 1.4.0,Добавена номенклaтура CL105,false
Версия 1.4.0,Добавена номенклaтура CL106,false
Версия 1.4.0,Добавена номенклaтура CL107,false
Версия 1.4.0,Добавена номенклaтура CL108,false
Версия 1.4.0,Добавена номенклaтура CL109,false
Версия 1.4.0,Добавена номенклaтура CL110,false
Версия 1.4.0,Добавена номенклaтура CL111,false
Версия 1.4.0,Добавена номенклaтура CL112,false
Версия 1.4.0,Добавена номенклaтура CL113,false
Версия 1.4.0,"Добавяне на нов код ""D"" в номенклатура CL102",false
