version,change,regarding vaccines
Версия 1.3.13,Добавен код 2 в номенклатура CL052,false
Версия 1.3.13,Добавяне на код -1005 в номенклатура CL037,true
Версия 1.3.13,"Коригирана колона ""Description"" за редове 3 и 4 в номенклатура CL047",false
Версия 1.3.13,Добавени колони за мета данни в номенклатура CL011,false
Версия 1.3.13,"Добавени нови редове ""T6"" и ""T7"" в номенклатура CL007",false
Версия 1.3.13,Добавени преводи на Български в номенклатура CL046,false
Версия 1.3.13,Добавени преводи на Английски в номенклатура CL045,false
