version,change
Версия 1.0.8,Добавени преводи и инструкции за употреба в CL016
Версия 1.0.8,Добавени преводи CL027
Версия 1.0.8,Допълнена номенклатура CL005 с информацията предоставена от НСИ
Версия 1.0.8,Допълнена номенклатура CL029 с информацията предоставена от НСИ
Версия 1.0.8,Допълнена номенклатура CL020 (добавени стойности за секунда и мнинута) на база  Fhir и НСИ
Версия 1.0.8,Актуализиран код на МДД 01.38 - С-реактивен протеин
Версия 1.0.8,Добавени държави в CL005
Версия 1.0.8,Попълнена номенклатура CL009
Версия 1.0.8,Попълнена номенклатура CL026
