version,change,regarding vaccines
Версия 1.1.0,Добавени нови редове в номенклатура CL042,false
Версия 1.1.0,Добавени нови редове в номенклатура CL037,true
Версия 1.1.0,Добавена номенклатура CL050,false
Версия 1.1.0,Добавени нови редове в номенклатура CL014,false
Версия 1.1.0,"Промемен формата на всички номенклатурни таблици така, че да отговарят по структура на резултата от заявка C001",false
Версия 1.1.0,"Поле ""senderISName"" е направено задължително в съобщение C001",false
Версия 1.1.0,Премахнато правило RL008 от съобщение C001 (нерелевантно),false
Версия 1.1.0,Премахнато условие CD014 от съобщения C001 и C002 (нерелевантно),false
Версия 1.1.0,Добавено съобщение C003,false
Версия 1.1.0,Добавено съобщение C004,false
