version,change,regarding vaccines
Версия 1.5.4,Добавена номенклатура CL142,false
Версия 1.5.4,Възстановена номенклатура CL050 спрямо версия 1.5.2 на спецификацията,false
Версия 1.5.4,"Корекция в nhif_code в номенклатура CL142 за кодове: 11-025, 29-019, 64-120, 60-103",false
Версия 1.5.4,Възстановяване на деактивирани кодове в CL037 - 1754 и 3339,true
Версия 1.5.4,"В номенклатура CL038 - добавяне на код 1754 в Meta Data - CL037 за кодове: 16, 17, 18",true
Версия 1.5.4,"В номенклатура CL038 - добавяне на код 3339 в Meta Data - CL037 за кодове: 28, 29, 30, 31",true
