version,change,regarding vaccines
Версия 1.0.13,"Добавена колона Attribute към всички съобщения - по дефаулт стойността е ""value"", отразяваща текущата ситуация",false
Версия 1.0.13,"Променено името на поле ""nomenclature.entry.value"" на ""nomenclature.entry.description"" в съобщение C002",false
Версия 1.0.13,"Добавена опционална група ""nomenclature.entry.meta"" в съобщение C002",false
Версия 1.0.13,"Добавенo задължително поле ""nomenclature.entry.meta.name"" в съобщение C002",false
Версия 1.0.13,"Добавенo задължително поле ""nomenclature.entry.meta.value"" в съобщение C002",false
Версия 1.0.13,"Добавено опционално поле ""senderISName"" в хедъра на съобщение C001",false
Версия 1.0.13,Добавен нов ред към номенклатура CL043,false
Версия 1.0.13,"Добавени мета колони към номенклатура CL037 - Days to Next Dose, Permit Owner, Target Disease",true
Версия 1.0.13,"Допълнена номенклатура CL037 с ваксина ""COVID-19 Vaccine Moderna""",true
