version,change
Версия 1.5.6,"Добавен нов ред ""00-030"" в номенклатура CL022"
Версия 1.5.6,"Добавен нов ред ""00-030-00"" в номенклатура CL024"
Версия 1.5.6,"Към CL088 e добавена колона F с ""CL50 Mapping"" с връзка към номенклатура CL050"
Версия 1.5.6,Към CL088 е добавени стойности за CL028 Mapping за записи: 75-175-01; 76-168-01
Версия 1.5.6,"Към CL088 е добавени колона за CL032 Mapping за излседванията, при които CL028 е по номенклатура"
Версия 1.5.6,Към CL088 е добавени стойности за CL032 Mapping за записи: 75-175-01
Версия 1.5.6,Променена номенклатура CL110 в съответствие с новата наредба за зъболекарските дейности. Старите кодове остават валидни до 1.12.2024
