version,change,regarding vaccines
Версия 1.3.5,Комбинирани номенклатури CL021 и CL094 в нова версия на номенклатура CL021,false
Версия 1.3.5,Премахната номенклатура CL094,false
Версия 1.3.5,"Допълнена колона ""NHIF Code"" за редове ""0C-121"" в номенклатура CL022",false
Версия 1.3.5,"Коригирана колона ""Description"" за редове ""0C-121"" в номенклатура CL022",false
Версия 1.3.5,"Коригирани изцяло редове ""0C-121-00"", ""01-000-00"", ""01-000-01"", ""01-000-02"", ""01-000-03"", ""01-000-04"", ""01-000-05"", ""01-000-06"", ""01-000-07"", ""01-000-08"", ""01-000-09"", ""01-000-0A"", ""01-000-0B"", ""01-000-0C"", ""01-001-00"", ""01-001-01"", ""01-001-02"", ""01-001-03"", ""01-001-04"", ""01-001-05"", ""01-001-06"", ""01-001-07"", ""01-001-08"", ""01-00F-00"", ""01-002-00"", ""02-001-00"", ""07-000-00"", ""01-00C-00"", ""01-007-01"", ""0B-040-01"", ""02-007-00"", ""02-002-01"" в номенклатура CL024",false
Версия 1.3.5,"Добавени нови редове ""01-000-0C"", ""01-001-09"", ""01-001-0A"", ""01-001-0B"", ""01-001-0C"", ""01-001-0D"", ""01-001-0E"", ""01-001-0F"", ""01-001-10"", ""01-001-11"", ""01-001-12"", ""01-001-13"", ""01-001-14"", ""01-001-15"", ""01-000-0E"", ""01-000-0F"", ""01-000-10"", ""01-000-11"", ""01-000-12"", ""01-000-13"", ""01-000-14"", ""01-000-15"", ""01-000-16"", ""01-000-17"", ""01-000-18"", ""01-000-19"", ""01-000-1A"", ""01-000-1B"", ""01-000-1C"", ""01-000-1D"", ""01-000-1E"", ""01-000-1F"", ""01-000-20"", ""01-000-21"", ""01-000-22"", ""01-000-23"", ""01-00F-01"", ""01-00F-02"", ""01-00F-03"", ""01-00F-04"", ""01-00F-05"", ""01-00F-06"", ""01-00F-07"", ""01-00F-08"", ""01-001-F0"", ""01-002-01"", ""01-002-02"", ""01-002-03"", ""01-002-04"", ""01-002-05"", ""01-002-06"", ""01-002-07"", ""01-002-08"", ""01-002-09"", ""01-002-0A"", ""01-002-0B"", ""01-002-0C"", ""01-002-0D"", ""01-002-0E"", ""01-002-0F"", ""01-002-10"", ""01-002-11"", ""01-002-12"", ""01-002-13"", ""01-002-14"", ""01-002-15"", ""01-002-16"", ""02-001-01"", ""02-001-02"", ""02-001-03"", ""02-001-04"", ""07-000-01"", ""07-000-02"", ""01-00C-01"", ""01-00C-02"", ""01-00C-03"", ""01-00C-04"", ""01-00C-05"", ""01-00C-06"", ""01-007-01"", ""0B-040-01"" в номенклатура CL024",false
Версия 1.3.5,"Код ""01-00D-00"" променен на ""01-000-0D"" в номенклатура CL024",false
Версия 1.3.5,"Добавени нови редове ""2"" в номенклатура CL032",false
Версия 1.3.5,"Добавени нови редове ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"" в номенклатура CL030",false
