version,change,regarding vaccines
Версия 1.5.5,Добавена номенклатура CL143,false
Версия 1.5.5,"Добавен нов код ""1"" в номенклатура CL143",false
Версия 1.5.5,"Добавен нов код ""12"" в номенклатура CL047",false
Версия 1.5.5,"Добавен нов код ""14"" в номенклатура CL021",false
Версия 1.5.5,"Код ""8"" в номенклатура CL069 става неактивен след 30.09.2024",false
