version,change
Версия 1.0.12,Коригиран мапинг към CL022 на ред 10 в номенклатура CL024
Версия 1.0.12,Добавена номенклатура CL036
Версия 1.0.12,Добавена номенклатура CL035
Версия 1.0.12,Добавена номенклатура CL037
Версия 1.0.12,Добавена номенклатура CL038
Версия 1.0.12,Добавена номенклатура CL039
Версия 1.0.12,Добавена номенклатура CL040
Версия 1.0.12,Добавена номенклатура CL041
Версия 1.0.12,Добавена номенклатура CL042
Версия 1.0.12,Добавена номенклатура CL043
Версия 1.0.12,Добавена номенклатура CL044
Версия 1.0.12,Добавена номенклатура CL045
Версия 1.0.12,Добавена номенклатура CL046
