version,change,regarding vaccines
Версия 1.5.22,"Номенклатура CL107 - промяна в стойностите на Description и Language EN за keys: C,Co,Cm,Cd,Cb,Cl,Cc,R,Rc",false
Версия 1.5.22,"Номенклатура CL107 - добавени нови кодове: NC,NCo,NCm,NCd,NCb,NCl,NCc,N,Res,DR,DRo,DRm,DRd,DRb,DRl,DRc",false
Версия 1.5.22,"Номенклатура CL107 - промяна в стойността на meta.Incompatible other codes from CL107 за keys: H,P,О,Oo,Om,Od,Ob,Ol,Oc,E,B,X,F.I,Re,T",false
Версия 1.5.22,"Номенклатура CL107 - промяна в ключа на записи при които ключът е бил изписан на кирилица - заменя се с еквивалент на латиница при стойности с keys: Е, О, К, Т",false
Версия 1.5.22,"Номенклатура CL022 - добавени нови кодове: 65-226, 98-012, 98-013, 98-014",false
Версия 1.5.22,Номенклатура CL022 - добавени нови Meta data колони за стойности за: LOINC и SNOMED,false
Версия 1.5.22,"Номенклатура CL022 - добавени стойности за meta.LOINC за ключове: 03-002, 03-00C, 03-011",false
Версия 1.5.22,"Номенклатура CL024 - добавени нови кодове: 02-00A-03, 02-00A-04, 02-00A-05, 65-226-01, 65-226-02,65-226-03, 65-226-04, 65-226-05, 65-226-06, 65-226-07, 65-226-08, 65-226-09,65-226-10,  98-012-01, 98-012-02, 98-012-03, 98-012-04, 98-012-05, 98-012-06, 98-012-07, 98-012-08, 98-012-09, 98-012-0A, 98-014-01, 98-013-01, 98-013-02, 98-013-03, 98-013-04, 98-013-05, 98-013-06, 98-013-07, 98-013-08, 98-013-09, 98-013-0A, 98-013-0B, 98-013-0C, 98-013-0D, 98-013-0E, 98-013-0F, 98-013-10, 98-013-11, 98-013-12, 98-013-13, 98-013-14, 98-013-15, 98-013-16, 98-013-17",false
Версия 1.5.22,Номенклатура CL024 - добавени нови Meta data колони за стойности за: SNOMED,false
Версия 1.5.22,"Номенклатура CL028 - добавени нови Meta data колони за стойности за: Description EN, Label BG, Label EN, а колоната Description се променя на Description BG",false
Версия 1.5.22,Създадена номенклатура CL094 за Разделение на възрастови групи,false
Версия 1.5.22,"Номенклатура CL032 - добавени нови кодове: 4, 5",false
Версия 1.5.22,Номенклатура CL032 - добавени нови Meta data колони за стойности за: LOINC и SNOMED,false
Версия 1.5.22,"Номенклатура CL032 - добавени нови Meta data колони за стойности за: Description EN, Label BG, Label EN, а колоната Description се променя на Description BG",false
Версия 1.5.22,"Номенклатура CL032 - добавени стойности за всички нови Meta data за ключове: 1, 2, 3",false
Версия 1.5.22,"Номенклатура CL038 - промяна в стойностите на Display Value BG и Display Value EN за кодове: 84, 85, 86 поради допусната техническа грешка в изписването на поредност на дозите",true
